ucsc.5utr	ucsc.5utr.chr	ucsc.5utr.start	ucsc.5utr.end	ucsc.3utr	ucsc.3utr.chr	ucsc.3utr.start	ucsc.3utr.end
MIRLET7C	NA	NA	NA	NA	uc002yke.3	chr21	17912148	17912231
MIR125B2	NA	NA	NA	NA	uc002ykf.3	chr21	17962557	17962645
C21orf37	NA	NA	NA	NA	uc011abz.2	chr21	18811208	18821503
CXADR	uc002yki.3	chr21	18885224	18885447	uc010gle.2	chr21	18937806	18942429
CHODL	uc002ykr.3	chr21	19273580	19628869	uc002ykr.3	chr21	19638356	19639687
NCAM2	uc011acc.2	chr21	22519438	22582880	uc002yld.2	chr21	22910279	22912517
BC035642	NA	NA	NA	NA	uc002yle.3	chr21	23119305	23169735
LINC00308	NA	NA	NA	NA	uc021whu.1	chr21	23470936	23488847
AK124194	NA	NA	NA	NA	uc002yli.1	chr21	25801054	25862621
LOC339622	NA	NA	NA	NA	uc031rvb.1	chr21	26212864	26430056
5S_rRNA	uc021xde.1	chr3	124777148	124777282	uc021vih.1	chr2	61225887	61226023
MIR155HG	NA	NA	NA	NA	uc002ylm.4	chr21	26934457	26947480
MIR155	NA	NA	NA	NA	uc021why.1	chr21	26946292	26946356
JAM2	uc011ace.2	chr21	27011594	27012133	uc002ylq.2	chr21	27011594	27089874
GABPA	uc002ylx.4	chr21	27107258	27113909	uc002ylx.4	chr21	27141544	27144771
MIR4759	NA	NA	NA	NA	uc021wic.1	chr21	28326280	28326362
LINC00113	NA	NA	NA	NA	uc011acl.1	chr21	29094698	29123552
LINC00314	NA	NA	NA	NA	uc002ymj.3	chr21	29385682	29395528
AX747935	NA	NA	NA	NA	uc002ymk.1	chr21	29420733	29509928
LINC00161	NA	NA	NA	NA	uc002ymn.3	chr21	29911640	29912677
USP16	uc002ymy.3	chr21	30396938	30400234	uc002ymy.3	chr21	30426509	30426807
MAP3K7CL	uc010glo.3	chr21	30494375	30532294	uc011acr.2	chr21	30449812	30548202
LINC00189	NA	NA	NA	NA	uc002ynh.3	chr21	30565801	30660526
BACH1	uc002ynj.3	chr21	30671220	30693601	uc002ynl.2	chr21	30677560	30734217
GRIK1-AS2	NA	NA	NA	NA	uc002ynp.1	chr21	30968360	31003067
GRIK1-AS1	NA	NA	NA	NA	uc011acu.2	chr21	31120494	31136325
KRTAP13-1	uc002yoa.3	chr21	31768392	31768404	uc002yoa.3	chr21	31768924	31769138
KRTAP13-4	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP15-1	NA	NA	NA	NA	uc002yod.3	chr21	31813060	31813098
KRTAP6-3	uc002yom.3	chr21	31964759	31964764	uc002yom.3	chr21	31965098	31965374
KRTAP22-1	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP20-1	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP20-4	NA	NA	NA	NA	uc011adf.1	chr21	31992946	31993169
KRTAP20-2	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP20-3	uc010gls.1	chr21	32015183	32015207	uc010gls.1	chr21	32015343	32015455
BC014150	uc002yoy.3	chr21	32931558	32931573	uc002yoy.3	chr21	32932430	32932601
SOD1	uc002ypa.3	chr21	33031935	33032082	uc002ypa.3	chr21	33040892	33041243
HUNK	uc002yph.3	chr21	33245628	33245987	uc002yph.3	chr21	33371498	33376377
MRAP	uc011ado.2	chr21	33664124	33679021	uc002ypj.3	chr21	33684308	33684599
C21orf119	NA	NA	NA	NA	uc011adp.2	chr21	33765442	33766266
EVA1C	uc002ypu.1	chr21	33824493	33825744	uc002yps.1	chr21	33784752	33887697
PAXBP1-AS1	NA	NA	NA	NA	uc002yqk.3	chr21	34100425	34115433
C21orf49	NA	NA	NA	NA	uc002yqs.3	chr21	34144411	34170016
OLIG2	uc002yqx.2	chr21	34398216	34399170	uc002yqx.2	chr21	34400143	34401503
OLIG1	uc002yqz.3	chr21	34442450	34442552	uc002yqz.3	chr21	34443369	34444728
IFNAR2	uc002yrb.3	chr21	34602231	34614227	uc002yrf.3	chr21	34635109	34636820
IL10RB	uc002yri.1	chr21	34621014	34625103	uc002yrk.2	chr21	34668663	34669539
IFNAR1	uc011adv.2	chr21	34696734	34713311	uc011adv.2	chr21	34727856	34732128
IFNGR2	uc002yrp.4	chr21	34775202	34775849	uc002yrp.4	chr21	34809270	34809828
SON	uc002ysd.3	chr21	34915350	34924564	uc002yse.1	chr21	34948731	34949812
ITSN1	uc010gmj.3	chr21	35014784	35122449	uc002yth.4	chr21	35014784	35210802
LINC00649	NA	NA	NA	NA	uc002ytn.3	chr21	35303516	35343487
SLC5A3	uc002yto.3	chr21	35445823	35467497	uc002yto.3	chr21	35469655	35478561
MRPS6	uc002ytp.2	chr21	35445823	35446000	uc002ytp.2	chr21	35514901	35515334
LINC00310	NA	NA	NA	NA	uc002yts.2	chr21	35552978	35562220
KCNE2	uc002ytt.1	chr21	35736323	35742777	uc002ytt.1	chr21	35743150	35743440
SMIM11	uc002ytu.4	chr21	35747749	35751803	uc002ytv.2	chr21	35747749	35775074
CLIC6	NA	NA	NA	NA	uc002yuf.1	chr21	36088781	36090519
LOC100506385	NA	NA	NA	NA	uc002yug.3	chr21	36118122	36157168
MIR802	NA	NA	NA	NA	uc021wix.1	chr21	37093013	37093106
CBR1	uc010gmx.1	chr21	37442285	37442413	uc010gmy.1	chr21	37444238	37445464
CBR3	uc002yve.3	chr21	37507263	37507490	uc002yve.3	chr21	37518811	37518860
DOPEY2	uc002yvh.3	chr21	37617346	37617725	uc002yvh.3	chr21	37633035	37634210
MORC3	uc002yvi.3	chr21	37692487	37692562	uc002yvi.3	chr21	37747595	37748944
CHAF1B	uc002yvj.3	chr21	37757689	37758434	uc002yvj.3	chr21	37788665	37789125
SIM2	uc002yvp.3	chr21	38071991	38072046	uc002yvr.2	chr21	38120394	38122510
RIPPLY3	uc011aec.2	chr21	38378450	38390274	uc002yvv.3	chr21	38390508	38391958
TTC3	uc011aed.1	chr21	38445571	38494146	uc002yvz.3	chr21	38573876	38575408
DSCR9	uc031rvh.1	chr21	38580804	38580982	uc010gnk.3	chr21	38580804	38594037
DYRK1A	uc002ywh.1	chr21	38739859	38845062	uc002ywg.1	chr21	38739859	38845182
DSCR8	uc010gnp.4	chr21	39493545	39494425	uc002ywt.4	chr21	39493545	39528605
DSCR10	NA	NA	NA	NA	uc010gnt.2	chr21	39578250	39580738
KCNJ15	uc031rvj.1	chr21	39601837	39671183	uc031rvj.1	chr21	39672312	39673746
ETS2	uc002yxg.4	chr21	40177755	40178044	uc002yxf.3	chr21	40194814	40196878
SNORA62	NA	NA	NA	NA	uc010hhs.3	chr3	39452545	39452698
BRWD1-AS1	uc031rvp.1	chr21	40687633	40689021	uc031rvp.1	chr21	40694956	40695144
WRB	uc011aep.1	chr21	40752213	40752310	uc031rvq.1	chr21	40752213	40786214
SH3BGR	uc002yxz.3	chr21	40817797	40834399	uc002yxz.3	chr21	40883703	40887433
B3GALT5	uc002yyb.1	chr21	40928369	41031839	uc002yyf.1	chr21	40984972	41031839
IGSF5	uc002yyo.3	chr21	41117334	41117436	uc002yyo.3	chr21	41173285	41174023
PCP4	uc002yyp.3	chr21	41239347	41239427	uc002yyp.3	chr21	41301037	41301322
DSCAM-AS1	NA	NA	NA	NA	uc002yys.3	chr21	41755010	41757285
MIR3197	NA	NA	NA	NA	uc021wjm.1	chr21	42539484	42539556
BACE2	uc002yyw.3	chr21	42539728	42540190	uc010goo.3	chr21	42617889	42648524
FAM3B	uc002yzb.1	chr21	42688661	42688806	uc002yza.2	chr21	42676177	42729654
MX2	uc002yzf.1	chr21	42733950	42748833	uc011aer.1	chr21	42742012	42770946
MX1	uc002yzh.3	chr21	42792520	42803997	uc002yzh.3	chr21	42830686	42831141
LINC00111	NA	NA	NA	NA	uc011aes.1	chr21	43099462	43117496
LINC00112	NA	NA	NA	NA	uc002yzm.3	chr21	43136596	43137742
ZNF295-AS1	uc011aeu.1	chr21	43442113	43442243	uc011aeu.1	chr21	43442523	43445060
UMODL1	uc010goy.1	chr21	43505401	43519151	uc002zai.2	chr21	43505401	43524197
ABCG1	uc002zam.3	chr21	43619799	43645804	uc002zam.3	chr21	43716503	43717354
UBASH3A	uc002zbe.3	chr21	43823971	43824054	uc010gpc.3	chr21	43823971	43867790
SLC37A1	uc002zbi.3	chr21	43919742	43938564	uc002zbi.3	chr21	44000471	44001550
PDE9A	uc002zbp.3	chr21	44073862	44163938	uc010gpf.1	chr21	44185731	44186088
NDUFV3	uc031rvu.1	chr21	44299754	44317039	uc031rvu.1	chr21	44329132	44329773
PKNOX1	uc011aex.1	chr21	44394643	44427728	uc002zcq.1	chr21	44450212	44453688
CRYAA	uc002zdd.1	chr21	44589141	44589209	uc002zdd.1	chr21	44592391	44592913
LINC00319	NA	NA	NA	NA	uc002zdg.3	chr21	44869904	44873771
DQ577420	NA	NA	NA	NA	uc002zdj.1	chr21	44985070	44985529
RRP1B	uc002zdl.3	chr21	45106013	45107656	uc002zdk.3	chr21	45113265	45115960
PDXK	uc002zdp.3	chr21	45148781	45152258	uc002zdm.4	chr21	45175945	45182188
RRP1	uc010gpl.1	chr21	45212812	45213231	uc002zds.2	chr21	45223656	45223983
AGPAT3	uc002zdv.3	chr21	45285116	45379562	uc002zdv.3	chr21	45402274	45407475
TRAPPC10	uc010gpo.3	chr21	45432206	45483495	uc002zea.3	chr21	45523413	45526432
PWP2	uc002zeb.3	chr21	45527208	45527297	uc002zeb.3	chr21	45550654	45551063
C21orf33	uc002zec.4	chr21	45553494	45553579	uc002zec.4	chr21	45564832	45565605
AIRE	uc002zej.3	chr21	45710148	45710689	uc010gpq.3	chr21	45710148	45718102
PFKL	uc011afd.1	chr21	45719925	45725210	uc002zek.3	chr21	45746746	45747261
TRPM2	uc011afe.2	chr21	45834475	45845446	uc021wjr.1	chr21	45773484	45862964
LRRC3	uc002zfa.3	chr21	45875393	45876527	uc002zfa.3	chr21	45877302	45878739
C21orf90	NA	NA	NA	NA	uc002zff.4	chr21	45937098	45938860
KRTAP10-4	uc002zfk.1	chr21	45993606	45993635	uc002zfk.1	chr21	45994842	45994987
KRTAP10-8	uc002zfo.1	chr21	46031996	46032017	uc002zfo.1	chr21	46032798	46032871
KRTAP10-9	uc002zfp.4	chr21	46047040	46047088	uc002zfp.4	chr21	46047968	46048295
KRTAP10-10	uc002zfq.3	chr21	46057273	46057334	uc002zfq.3	chr21	46058091	46058372
KRTAP10-11	uc002zfr.4	chr21	46066331	46066375	uc002zfr.4	chr21	46067273	46067566
KRTAP12-3	uc002zft.3	chr21	46077849	46077896	uc002zft.3	chr21	46078188	46078258
KRTAP10-12	uc002zfw.1	chr21	46117087	46117116	uc002zfw.1	chr21	46117855	46117959
ITGB2-AS1	NA	NA	NA	NA	uc021wju.1	chr21	46340950	46349595
FAM207A	uc002zgl.3	chr21	46359955	46359972	uc002zgl.3	chr21	46396719	46396888
ADARB1	uc002zgr.2	chr21	46494493	46591571	uc002zgq.2	chr21	46494493	46646478
C21orf89	NA	NA	NA	NA	uc002zgz.1	chr21	46654267	46678645
LOC642852	NA	NA	NA	NA	uc002zhf.3	chr21	46707967	46717269
COL18A1	uc002zhk.3	chr21	46927414	46930016	uc002zhg.3	chr21	46932313	46933634
PCBP3	uc010gqb.3	chr21	47063683	47269999	uc002zhp.2	chr21	47361621	47362368
COL6A1	uc002zhv.1	chr21	47421111	47421925	uc002zhu.1	chr21	47423928	47424963
COL6A2	uc002zhz.1	chr21	47518033	47531390	uc002zhy.1	chr21	47548843	47549719
MCM3AP-AS1	uc002zin.2	chr21	47649158	47650273	uc002zim.2	chr21	47649158	47671604
YBEY	uc002zit.1	chr21	47706267	47706827	uc002zit.1	chr21	47711404	47712111
PCNT	uc002zjj.3	chr21	47744802	47754397	uc010gqk.1	chr21	47754311	47769734
DIP2A	uc002zjr.3	chr21	47972824	47974150	uc002zjt.2	chr21	47983696	47989926
DIP2A-IT1	NA	NA	NA	NA	uc031rwd.1	chr21	47882384	47889218
Metazoa_SRP	uc021rvc.1	chr14	68217944	68218261	uc021ukv.1	chr18	56470253	56470564
PRMT2	uc002zjz.1	chr21	48063198	48068384	uc021wkc.1	chr21	48071919	48075276
TEKT4P2	uc021wgy.1	chr21	9915250	9968593	uc002zka.2	chr21	9907189	9908330
TPTE	uc002yis.1	chr21	10906743	11039429	uc002yip.1	chr21	10906743	10906904
BAGE3	uc002yix.2	chr21	11059790	11098925	uc002yiu.1	chr21	11020813	11058322
BAGE	uc002yiv.1	chr21	11098738	11098937	uc002yiv.1	chr21	11057796	11059815
MIR3156-3	uc021whb.1	chr21	14778705	14778781	NA	NA	NA	NA
C21orf15	uc002yjf.3	chr21	15215454	15220685	NA	NA	NA	NA
ANKRD20A11P	uc002yji.2	chr21	15316096	15352765	NA	NA	NA	NA
LIPI	uc021whg.1	chr21	15481135	15583212	uc002yjm.3	chr21	15481135	15481313
HSPA13	uc011abx.2	chr21	15748097	15755509	uc002yjt.3	chr21	15743437	15745937
SAMSN1	uc002yjv.1	chr21	15954718	15955723	uc002yju.2	chr21	15857549	15858232
LOC388813	uc031rux.1	chr21	16015395	16015428	uc031rux.1	chr21	15964484	15964942
NRIP1	uc031ruy.1	chr21	16340514	16438231	uc002yjx.2	chr21	16333556	16337036
SNORD74	uc021whm.1	chr21	17657017	17657089	uc021xmz.1	chr4	26703931	26704010
Y_RNA	uc021pwd.1	chr10	92639797	92639936	uc021vqd.1	chr2	141750112	141750228
BTG3	uc002ykl.3	chr21	18981463	18985268	uc002ykl.3	chr21	18965968	18966410
C21orf91-OT1	uc002ykm.3	chr21	19149721	19164826	NA	NA	NA	NA
C21orf91	uc002ykq.4	chr21	19190636	19191703	uc002ykp.4	chr21	19161284	19165896
CHODL-AS1	uc011aca.1	chr21	19207989	19257925	NA	NA	NA	NA
TMPRSS15	uc002ykw.3	chr21	19775940	19775970	uc002ykw.3	chr21	19641433	19642285
BC028044	uc010glf.2	chr21	19933583	20110343	NA	NA	NA	NA
BC051441	uc002ykx.3	chr21	19933583	20132130	NA	NA	NA	NA
LINC00320	uc002ykz.4	chr21	22114913	22175426	NA	NA	NA	NA
LINC00317	uc021wht.1	chr21	23095613	23109639	NA	NA	NA	NA
BC039377	uc002ylf.3	chr21	23381477	23470778	NA	NA	NA	NA
D21S2088E	uc021whw.1	chr21	24733426	24757156	NA	NA	NA	NA
LINC00158	uc002ylk.3	chr21	26758133	26804013	NA	NA	NA	NA
LINC00515	uc011acd.2	chr21	26955087	26955536	NA	NA	NA	NA
MRPL39	uc002yln.3	chr21	26979788	26979801	uc002yln.3	chr21	26957968	26958062
ATP5J	uc002ylw.3	chr21	27102106	27107965	uc002ylw.3	chr21	27096791	27096950
APP	uc011aci.2	chr21	27484416	27543446	uc011acg.2	chr21	27252861	27253980
CYYR1	uc011ack.2	chr21	27840246	27945581	uc002ymd.3	chr21	27838528	27840819
ADAMTS1	uc002ymf.3	chr21	28217274	28217728	uc002ymf.3	chr21	28208606	28209897
ADAMTS5	uc002ymg.3	chr21	28338711	28339439	uc002ymg.3	chr21	28290231	28296371
BC043580	uc002ymh.3	chr21	28731204	28820898	NA	NA	NA	NA
BC047600	uc002yml.3	chr21	29488413	29600986	NA	NA	NA	NA
N6AMT1	uc002ymq.2	chr21	30244513	30257695	uc002ymo.2	chr21	30248386	30248706
LTN1	uc010gll.1	chr21	30338692	30359255	uc002ymr.2	chr21	30300466	30302769
RWDD2B	uc002yms.3	chr21	30391599	30391685	uc002yms.3	chr21	30378080	30378737
CCT8	uc002yna.3	chr21	30441822	30445956	uc011acp.2	chr21	30428648	30428795
U3	uc021wzt.1	chr3	60842061	60842277	uc022aan.1	chr7	25304275	25304501
GRIK1	uc002ynn.3	chr21	31311819	31312282	uc002ynn.3	chr21	30909254	30909550
CLDN17	uc011acv.2	chr21	31538936	31538971	uc011acv.2	chr21	31538241	31538260
LINC00307	uc021wif.1	chr21	31581469	31584101	NA	NA	NA	NA
CLDN8	uc002ynu.2	chr21	31588244	31588469	uc002ynu.2	chr21	31586324	31587565
KRTAP24-1	uc002ynv.3	chr21	31655251	31655276	uc002ynv.3	chr21	31653627	31654485
KRTAP25-1	uc010glr.1	chr21	31661809	31661832	uc010glr.1	chr21	31661463	31661499
KRTAP26-1	uc002ynw.3	chr21	31692354	31692607	uc002ynw.3	chr21	31691450	31691720
KRTAP27-1	uc002ynx.1	chr21	31709987	31710012	uc002ynx.1	chr21	31709331	31709362
KRTAP23-1	NA	NA	NA	NA	uc002yny.1	chr21	31720717	31720726
KRTAP13-2	uc002ynz.4	chr21	31744532	31744557	uc002ynz.4	chr21	31743709	31744003
MIR4327	uc021wig.1	chr21	31747612	31747696	NA	NA	NA	NA
KRTAP13-3	NA	NA	NA	NA	uc002yob.1	chr21	31797711	31797711
KRTAP19-1	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP19-2	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP19-3	NA	NA	NA	NA	uc002yog.1	chr21	31863782	31864029
KRTAP19-4	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP19-5	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP19-6	uc002yok.1	chr21	31914153	31914181	uc002yok.1	chr21	31913854	31913975
KRTAP19-7	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP22-2	uc021wih.1	chr21	31962694	31962716	uc021wih.1	chr21	31962424	31962555
KRTAP6-2	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP6-1	NA	NA	NA	NA	uc002yop.3	chr21	31986005	31986007
KRTAP21-3	uc021wii.1	chr21	32091078	32091095	uc021wii.1	chr21	32090843	32090900
KRTAP21-2	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP21-1	NA	NA	NA	NA	NA	NA	NA	NA
KRTAP8-1	uc002you.3	chr21	32185539	32185570	uc002you.3	chr21	32185015	32185346
KRTAP7-1	uc011adj.2	chr21	32202018	32202051	uc011adj.2	chr21	32201358	32201752
KRTAP11-1	uc002yov.3	chr21	32253844	32253874	uc002yov.3	chr21	32252964	32253351
KRTAP19-8	uc010glt.3	chr21	32410763	32410795	uc010glt.3	chr21	32410478	32410570
TIAM1	uc002yox.1	chr21	32624293	32932290	uc011adk.1	chr21	32490736	32496786
BC041449	uc002yoz.1	chr21	33026871	33031813	NA	NA	NA	NA
SCAF4	uc002ypf.1	chr21	33068516	33074231	uc002ypf.1	chr21	33056308	33057287
LINC00159	uc021wij.1	chr21	33452794	33458608	NA	NA	NA	NA
MIS18A	uc002ypi.3	chr21	33651326	33651376	uc002ypi.3	chr21	33640530	33641347
BC034802	uc002ypm.3	chr21	33678775	33681045	NA	NA	NA	NA
URB1	uc002ypn.2	chr21	33765220	33765312	uc002ypn.2	chr21	33683330	33687228
SNORA80	uc002ypo.3	chr21	33749496	33749631	NA	NA	NA	NA
TCP10L	uc002ypw.4	chr21	33956615	33957845	uc002ypw.4	chr21	33947151	33949083
C21orf59	uc010glx.3	chr21	33982226	33984918	uc002yqa.3	chr21	33974120	33975398
SYNJ1	uc002yqe.4	chr21	34003902	34014462	uc011ads.1	chr21	34001069	34007173
PAXBP1	uc002yqo.3	chr21	34106210	34144169	uc002yql.3	chr21	34106210	34107260
C21orf62	uc010glz.3	chr21	34166733	34186053	uc010glz.3	chr21	34162984	34166072
C21orf54	uc002yra.4	chr21	34542475	34542541	uc002yra.4	chr21	34537776	34537976
IL10RB-AS1	uc002yrj.2	chr21	34637937	34638565	NA	NA	NA	NA
TMEM50B	uc002yrs.2	chr21	34804793	34852316	NA	NA	NA	NA
DNAJC28	uc002yrw.3	chr21	34861701	34864023	uc002yrv.3	chr21	34860238	34860533
GART	uc010gmd.3	chr21	34900525	34915195	uc002ysa.2	chr21	34896316	34897071
DONSON	uc002ysm.4	chr21	34960948	34967920	uc002ysi.1	chr21	34947783	34950612
CRYZL1	uc002yss.1	chr21	34968037	35014160	uc021wio.1	chr21	34961648	34962127
ATP5O	uc002ytm.1	chr21	35284593	35288028	uc002ytl.3	chr21	35275757	35275829
BC049386	uc002yty.3	chr21	35796138	35796264	uc002yty.3	chr21	35791013	35791515
KCNE1	uc002yua.4	chr21	35821933	35884573	uc010gmp.4	chr21	35818986	35821542
RCAN1	uc002yud.3	chr21	35895856	35986745	uc002yub.3	chr21	35888784	35890381
LINC00160	uc031rvf.1	chr21	36096105	36109479	NA	NA	NA	NA
RUNX1	uc002yut.1	chr21	36259140	37357047	uc002yuh.3	chr21	36160098	36164431
LOC100506403	uc031rvg.1	chr21	36744805	36953227	NA	NA	NA	NA
SETD4	uc002yuu.3	chr21	37406839	37432819	uc021wiy.1	chr21	37406839	37408414
LOC100133286	uc011aea.1	chr21	37441940	37498938	NA	NA	NA	NA
CBR3-AS1	uc002yvc.2	chr21	37504065	37528606	NA	NA	NA	NA
CLDN14	uc002yvo.1	chr21	37833994	37948867	uc002yvk.2	chr21	37832920	37833273
HLCS	uc002yvs.3	chr21	38311184	38362545	uc010gnb.3	chr21	38123189	38126546
PIGP	uc002yvy.2	chr21	38444449	38445458	uc002yvw.1	chr21	38437664	38437881
DSCR3	uc010gnm.1	chr21	38595726	38639833	uc002ywf.1	chr21	38595726	38597844
KCNJ6	uc002ywo.3	chr21	39212985	39288741	uc011aej.2	chr21	38996785	38997460
DSCR4	uc002ywp.3	chr21	39493350	39493454	uc002ywp.3	chr21	39426313	39426948
ERG	uc010gnz.3	chr21	39842700	40033704	uc002yxa.3	chr21	39751950	39755324
LINC00114	uc002yxd.3	chr21	40110879	40145401	NA	NA	NA	NA
PSMG1	uc010gob.4	chr21	40552343	40555440	uc002yxi.4	chr21	40547372	40547515
BRWD1	uc010goc.1	chr21	40582047	40636945	uc021wjf.1	chr21	40557404	40568184
BRWD1-IT2	uc021wjg.2	chr21	40686344	40686888	uc021wjg.2	chr21	40685861	40685905
HMGN1	uc021wjh.1	chr21	40714241	40718454	uc002yxo.3	chr21	40714241	40715037
LCA5L	uc002yxw.2	chr21	40800420	40817670	uc021wji.1	chr21	40793485	40794871
C21orf88	uc002yyd.4	chr21	40977534	40984749	uc010gok.4	chr21	40969075	40969630
DSCAM	uc002yyr.1	chr21	41384343	42219039	uc002yyq.1	chr21	41384343	41384960
MIR4760	uc021wjk.1	chr21	41584279	41584358	NA	NA	NA	NA
DSCAM-IT1	uc031rvs.1	chr21	41990433	42002693	NA	NA	NA	NA
LINC00323	uc002yyv.1	chr21	42513427	42519991	NA	NA	NA	NA
TMPRSS2	uc010gos.1	chr21	42870061	42903043	uc010gor.3	chr21	42836478	42838068
LINC00479	uc011aet.1	chr21	43131680	43135935	uc010got.1	chr21	43131680	43133042
RIPK4	uc002yzn.1	chr21	43187202	43187249	uc002yzn.1	chr21	43159529	43160997
PRDM15	uc002yzo.3	chr21	43299481	43299591	uc002yzo.3	chr21	43218385	43221399
C2CD2	uc002yzv.3	chr21	43342108	43346799	uc002yzs.3	chr21	43305219	43309232
ZBTB21	uc002yzz.4	chr21	43414205	43430496	uc002yzz.4	chr21	43406940	43411003
C21orf128	uc002zak.2	chr21	43528493	43528644	uc002zak.2	chr21	43522244	43523743
TFF3	uc002zav.3	chr21	43735527	43735706	uc002zav.3	chr21	43731777	43732365
TFF2	uc002zaw.3	chr21	43771067	43771208	uc002zaw.3	chr21	43766467	43766641
TFF1	uc002zax.1	chr21	43786605	43786644	uc002zax.1	chr21	43782391	43782587
TMPRSS3	uc002zba.2	chr21	43808577	43810527	uc002zay.2	chr21	43791996	43792870
U6	uc021xvd.1	chr4	184596756	184596868	uc021vrn.1	chr2	158769284	158769397
RSPH1	uc002zbg.3	chr21	43916297	43916401	uc002zbg.3	chr21	43892597	43892927
BC041455	uc002zbk.2	chr21	44019514	44035168	NA	NA	NA	NA
BC033260	uc002zbl.4	chr21	44068404	44071354	NA	NA	NA	NA
WDR4	uc002zcl.2	chr21	44283565	44299699	uc002zci.4	chr21	44263190	44270158
HERV-Fb1	uc002zco.3	chr21	44339117	44345728	uc002zco.3	chr21	44336913	44338633
CBS	uc002zcw.3	chr21	44492304	44496472	uc002zcs.1	chr21	44473301	44473989
U2AF1	uc002zcz.1	chr21	44515834	44527688	uc002zdc.1	chr21	44517750	44521389
SIK1	uc002zdf.2	chr21	44846059	44847002	uc002zdf.2	chr21	44834398	44836621
LINC00313	uc002zdh.1	chr21	44881974	44898103	NA	NA	NA	NA
HSF2BP	uc011aey.2	chr21	45064236	45078201	uc011aey.2	chr21	44949072	44949633
CSTB	uc002zdr.4	chr21	45196151	45196256	uc002zdr.4	chr21	45193546	45194082
LOC284837	uc002zdu.2	chr21	45225639	45232448	NA	NA	NA	NA
ICOSLG	uc011afc.2	chr21	45656886	45660834	uc002zee.3	chr21	45646722	45648916
DNMT3L	uc002zeg.2	chr21	45681143	45682099	uc002zeg.2	chr21	45666222	45666279
C21orf2	uc031rvw.1	chr21	45750907	45754407	uc031rvw.1	chr21	45748827	45750080
LRRC3-AS1	uc031rvy.1	chr21	45870869	45875167	NA	NA	NA	NA
TSPEAR	uc010gpv.1	chr21	45987768	46131495	uc010gpv.1	chr21	45917775	45919665
KRTAP10-1	uc002zfh.1	chr21	45960034	45960078	uc002zfh.1	chr21	45959068	45959184
KRTAP10-2	uc002zfi.1	chr21	45971342	45971388	uc002zfi.1	chr21	45970318	45970573
KRTAP10-3	uc002zfj.1	chr21	45978599	45978643	uc002zfj.1	chr21	45977906	45977932
KRTAP10-5	uc002zfl.1	chr21	46000456	46000481	uc002zfl.1	chr21	45999564	45999639
KRTAP10-6	uc002zfm.3	chr21	46012366	46012386	uc002zfm.3	chr21	46011149	46011267
KRTAP12-4	uc002zfs.1	chr21	46074532	46074576	uc002zfs.1	chr21	46074130	46074192
KRTAP12-2	uc002zfu.3	chr21	46086804	46086844	uc002zfu.3	chr21	46086106	46086362
KRTAP12-1	uc002zfv.3	chr21	46102039	46102078	uc002zfv.3	chr21	46101491	46101747
UBE2G2	uc021wjt.1	chr21	46197248	46221751	uc002zfx.3	chr21	46188495	46191291
SUMO3	uc002zfz.1	chr21	46237884	46238044	uc002zfz.1	chr21	46225532	46226865
PTTG1IP	uc002zgb.2	chr21	46293532	46293818	uc002zgb.2	chr21	46269500	46271495
ITGB2	uc002zgg.2	chr21	46330698	46348753	uc002zgd.2	chr21	46305868	46306282
C21orf67	uc002zgj.4	chr21	46357520	46359828	uc011afm.2	chr21	46353199	46354128
LINC00163	uc021wjz.1	chr21	46409779	46414001	NA	NA	NA	NA
LINC00162	uc002zgo.3	chr21	46419127	46424642	NA	NA	NA	NA
SSR4P1	uc011afn.2	chr21	46490871	46493126	NA	NA	NA	NA
POFUT2	uc002zhb.3	chr21	46683843	46707811	uc002zhd.3	chr21	46683843	46687365
COL18A1-AS2	uc031rwa.1	chr21	46827301	46829980	NA	NA	NA	NA
COL18A1-AS1	uc002zhh.1	chr21	46839631	46844985	NA	NA	NA	NA
SLC19A1	uc010gpz.3	chr21	46934629	46962385	uc011aft.2	chr21	46934629	46935571
LOC100129027	uc002zho.2	chr21	47247755	47256333	NA	NA	NA	NA
FTCD	uc002zie.3	chr21	47556176	47562655	uc002zif.3	chr21	47556176	47556900
SPATC1L	uc031rwb.1	chr21	47588225	47604373	uc011afu.2	chr21	47581062	47581292
LSS	uc002zik.2	chr21	47647545	47648738	uc002zij.3	chr21	47608360	47611017
MCM3AP	uc002zip.1	chr21	47676858	47679179	uc002zio.1	chr21	47655048	47655181
MCM3AP_var1	uc031rwc.1	chr21	47705028	47706122	NA	NA	NA	NA
C21orf58	uc010gqj.2	chr21	47721047	47743785	uc002zja.3	chr21	47720344	47721912
S100B	uc002zju.1	chr21	48022329	48025035	uc002zjv.1	chr21	48018531	48019363
LINC00516	NA	NA	NA	NA	uc001vvt.3	chr14	19894369	19904572
